term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
mothers day gifts,3.0,187472.0,33058.0,9,2025-01,2025-12,5.982007120177042,False
valentines day gifts for her,8.0,52435.0,215.0,3,2025-01,2025-12,,False
fathers day gifts,8.0,132574.0,51081.5,8,2025-01,2025-08,1.300177933326471,False
mothers day gifts for mom,9.0,81149.0,23011.0,5,2025-02,2025-06,,False
spring tops for women,10.0,162112.0,3375.0,7,2025-01,2025-07,6.267555555555556,False
valentines day gifts for him,10.0,10986.0,47.0,3,2025-01,2025-12,,False
easter basket stuffers,12.0,24122.0,399.5,4,2025-01,2025-04,,False
fathers day gifts for dad,16.0,143196.0,17054.0,5,2025-03,2025-07,,False
valentines day cards for kids school,24.0,117813.0,766.0,3,2025-01,2025-12,,False
easter basket essentials,26.0,715.0,119.0,3,2025-02,2025-04,,False
valentines day gifts for kids,33.0,105310.0,226.0,3,2025-01,2025-12,,False
easter basket,38.0,148271.0,12187.5,6,2025-01,2025-12,42.59760802469136,False
plus size spring clothes for women,40.0,1427.0,207.0,5,2025-03,2025-07,,False
easter candy,51.0,82398.0,13746.5,6,2025-01,2025-06,7.006115317414094,False
valentines day decorations,53.0,144453.0,2385.0,5,2025-01,2025-12,,False
eyebright,72.0,71015.0,1632.0,5,2025-03,2025-09,,False
methylene blue supplement,78.0,185656.0,10644.0,5,2025-02,2025-07,,False
the bondsmen,87.0,47678.0,15935.0,7,2025-03,2025-09,23.189994044073853,False
easter dresses for women,88.0,133820.0,3680.0,5,2025-01,2025-05,,False
women beach fashion,90.0,16042.0,2963.0,4,2025-02,2025-05,,False
mouth guard for clenching teeth at night,106.0,176517.0,2493.5,8,2025-01,2025-08,247.76956521739132,False
onyx storm rebecca yarros,111.0,147627.0,16769.0,8,2025-01,2025-08,28.535807631991638,False
calendar 2025,112.0,161426.0,9183.0,9,2025-01,2025-09,128.0222024866785,False
st patricks day shirt women,125.0,191066.0,6562.5,4,2025-01,2025-12,,False
valentines day gifts,128.0,13325.0,250.0,3,2025-01,2025-12,,False
