term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
mardi gras earrings,7904.0,97141.0,37969.0,3,2025-01,2025-03,,True
prom jewelry,9641.0,199659.0,30340.0,5,2025-01,2025-05,,True
4th of july earrings,12077.0,118260.0,53302.0,3,2025-05,2025-07,,True
easter earrings,12532.0,69883.0,24007.0,3,2025-02,2025-04,,True
valentines earrings,13376.0,140741.0,18702.0,3,2025-01,2025-12,,True
southern charm,13458.0,164313.0,36127.0,8,2025-01,2025-12,2.9400532164658006,True
snow chains for car tires,13720.0,125487.0,33633.0,6,2025-01,2025-12,1.0558068459657701,True
shamrock earrings,16808.0,40754.0,28781.0,2,2025-02,2025-03,,True
snowflake earrings,16998.0,150907.0,80147.5,4,2025-01,2025-12,,True
ring buckle umbrella,17278.0,70850.0,34772.0,3,2025-01,2025-09,,True
lucky charms shirt,18327.0,85098.0,51712.5,2,2025-02,2025-03,,True
mothers day jewelry,18639.0,54299.0,36469.0,2,2025-04,2025-05,,True
st patricks day earrings,19542.0,194068.0,45184.0,3,2025-01,2025-03,,True
valentine earrings for women,19903.0,29874.0,24888.5,2,2025-01,2025-02,,True
dr chilly ice ring,20641.0,159672.0,41293.5,4,2025-04,2025-07,,True
mothers day necklace,20973.0,67138.0,44055.5,2,2025-04,2025-05,,True
4th of july earrings for women,21138.0,170913.0,103070.0,3,2025-05,2025-07,,True
elden ring nightreign,21617.0,143856.0,120393.5,8,2025-02,2025-12,1.0196506898476752,True
arm cuff jewelry for women,22294.0,150209.0,31872.0,9,2025-01,2025-09,0.38092961550873083,True
lucky charms marshmallows only 40 pounds,23253.0,23253.0,23253.0,1,2025-03,2025-03,,True
sunchill float ring,23282.0,182662.0,63902.0,6,2025-03,2025-08,0.21752877197420006,True
precision rings xbox,23700.0,122263.0,47545.0,6,2025-03,2025-08,2.0477231199168786,True
septum nose rings for women,23988.0,52176.0,25796.0,7,2025-01,2025-07,1.1389422095160302,True
st patricks day necklaces,24007.0,120095.0,72051.0,2,2025-02,2025-03,,True
valentines day earrings,25391.0,34501.0,29946.0,2,2025-01,2025-02,,True
valentine earrings,26258.0,26957.0,26607.5,2,2025-01,2025-02,,True
lucky charm anne marie meyer,26439.0,114320.0,70379.5,2,2025-01,2025-02,,True
