term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
valentines day gifts for her,8.0,52435.0,215.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
valentines day gifts for him,10.0,10986.0,47.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
school outfits for teachers,11.0,23594.0,2301.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
easter basket stuffers,12.0,24122.0,399.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
valentines day cards for kids school,24.0,117813.0,766.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
easter basket essentials,26.0,715.0,119.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
christmas gifts for grandkids,31.0,4048.0,409.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
valentines day gifts for kids,33.0,105310.0,226.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
iphone 17 pro max screen protector,79.0,270.0,186.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
heated rivalry,82.0,68395.0,3270.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
women beach fashion,90.0,16042.0,2963.0,4,2025-02,2025-05,,False,2025-02;2025-03;2025-04;2025-05
black friday deals 2025,111.0,26026.0,18603.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
charlie kirk,120.0,19615.0,5926.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
modern farmhouse decor deals,122.0,2672.0,312.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
st patricks day shirt women,125.0,191066.0,6562.5,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
valentines day gifts,128.0,13325.0,250.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
charlie kirk books,129.0,16614.0,4795.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
the age of disclosure,134.0,38603.0,1005.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
fourth of july deals,134.0,1838.0,516.0,3,2025-05,2025-07,,False,2025-05;2025-06;2025-07
playdate,138.0,5998.0,1071.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
trunk or treat car decorations kit,145.0,126133.0,10977.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
couples halloween costumes 2025,159.0,169804.0,10190.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
iphone 17 pro screen protector,172.0,424.0,273.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
valentines candy,186.0,178460.0,26616.5,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
easter egg fillers,195.0,88974.0,6573.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
calcium multi balm stick,211.0,113021.0,33965.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
tinnitus treatment,212.0,13911.0,2868.0,4,2025-01,2025-12,,False,2025-01;2025-04;2025-05;2025-12
tops for teachers,216.0,15090.0,796.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
charlie kirk t shirt,217.0,43190.0,14831.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
thanksgiving tablecloth,223.0,94629.0,14629.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
fathers day card,242.0,114689.0,28203.5,4,2025-04,2025-07,,False,2025-04;2025-05;2025-06;2025-07
the shooting of charlie kirk,249.0,249.0,249.0,1,2025-09,2025-09,,False,2025-09
comfiest airport outfits,249.0,18587.0,293.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
womens halloween costumes 2025,256.0,91329.0,13217.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
super bowl,260.0,158099.0,52454.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
pumpkin carving kit,270.0,93637.0,35051.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
fathers day gifts for husband,273.0,69286.0,1742.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
h2 molecular hydrogen,282.0,52538.0,3610.0,3,2025-05,2025-12,,False,2025-05;2025-11;2025-12
levis women jeans,290.0,2302.0,1367.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
maxi dresses for seniors,300.0,3681.0,460.0,3,2025-05,2025-07,,False,2025-05;2025-06;2025-07
the mighty nein,304.0,110894.0,12058.5,4,2025-07,2025-12,,False,2025-07;2025-10;2025-11;2025-12
new years eve party supplies,319.0,131869.0,24676.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
blue methylene pharmaceutical grade,326.0,153454.0,784.0,4,2025-02,2025-07,,False,2025-02;2025-05;2025-06;2025-07
halloween costumes for men,331.0,185079.0,31606.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
fall clothes deals,341.0,48884.0,7193.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
wicked: for good,346.0,1959.0,1152.5,2,2025-11,2025-12,,False,2025-11;2025-12
spring break essentials,357.0,75426.0,4712.0,4,2025-02,2025-05,,False,2025-02;2025-03;2025-04;2025-05
st patricks day decorations,368.0,98962.0,3536.5,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
airpods pro 3 case,370.0,759.0,534.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
thanksgiving outfit women,371.0,189919.0,36387.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
bee venom cream for skin,372.0,1282.0,827.0,2,2025-11,2025-12,,False,2025-11;2025-12
chocolate brown fall clothes,383.0,28446.0,738.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
new years eve outfits women,383.0,195477.0,59028.5,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
thanksgiving plates,386.0,124097.0,18613.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
mens valentines day gifts,398.0,29419.0,3626.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
oh. what. fun.,401.0,24633.0,12517.0,2,2025-11,2025-12,,False,2025-11;2025-12
finding joy,409.0,46584.0,4864.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
charlie kirk shirt,419.0,78509.0,27773.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
nail repair patches,420.0,420.0,420.0,1,2025-12,2025-12,,False,2025-12
nmn supplements 1000mg,422.0,917.0,669.5,2,2025-11,2025-12,,False,2025-11;2025-12
halloween candy bulk,422.0,140410.0,25548.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
h2vida hydrogen tablets,431.0,190751.0,687.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
rompers for seniors,447.0,161110.0,3693.0,4,2025-05,2025-10,,False,2025-05;2025-06;2025-07;2025-10
holland nicole kidman,453.0,164717.0,4389.0,4,2025-03,2025-06,,False,2025-03;2025-04;2025-05;2025-06
apple watch series 11,462.0,2570.0,882.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
all her fault,462.0,1029.0,745.5,2,2025-11,2025-12,,False,2025-11;2025-12
glp-1 supplement,488.0,1312.0,900.0,2,2025-11,2025-12,,False,2025-11;2025-12
valentines,497.0,20460.0,670.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
dog halloween costumes,502.0,50875.0,6400.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
instant lift patch for legs,505.0,61928.0,15729.0,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
skeletons for halloween,507.0,83920.0,9590.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
rompers for mom,523.0,10089.0,646.0,3,2025-06,2025-08,,False,2025-06;2025-07;2025-08
galentines day decorations,525.0,16167.0,707.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
st patricks day accessories,539.0,40583.0,3108.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
