term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
christmas earrings for women,1900.0,130502.0,17543.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
halloween earrings,2191.0,75949.0,12148.0,4,2025-07,2025-10,,True,2025-07;2025-08;2025-09;2025-10
halloween earrings for women,4009.0,57251.0,17414.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
christmas necklace,7597.0,122591.0,18885.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
mardi gras earrings,7904.0,97141.0,37969.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
the christmas ring,8560.0,51199.0,13652.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
christmas light necklace,10312.0,117051.0,29432.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
christmas napkin rings,10864.0,76352.0,13632.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
4th of july earrings,12077.0,118260.0,53302.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
spider rings,12242.0,53593.0,32917.5,2,2025-09,2025-10,,True,2025-09;2025-10
easter earrings,12532.0,69883.0,24007.0,3,2025-02,2025-04,,True,2025-02;2025-03;2025-04
thanksgiving napkin rings,12693.0,190404.0,64651.0,3,2025-09,2025-11,,True,2025-09;2025-10;2025-11
light up christmas necklace,13128.0,33302.0,23215.0,2,2025-11,2025-12,,True,2025-11;2025-12
valentines earrings,13376.0,140741.0,18702.0,3,2025-01,2025-12,,True,2025-01;2025-02;2025-12
thanksgiving earrings,13407.0,42676.0,28041.5,2,2025-10,2025-11,,True,2025-10;2025-11
grinch earrings,14635.0,34210.0,24422.5,2,2025-11,2025-12,,True,2025-11;2025-12
christmas jewelry for women,16168.0,133889.0,29585.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
christmas jewelry,16232.0,100656.0,22277.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
shamrock earrings,16808.0,40754.0,28781.0,2,2025-02,2025-03,,True,2025-02;2025-03
snowflake earrings,16998.0,150907.0,80147.5,4,2025-01,2025-12,,True,2025-01;2025-10;2025-11;2025-12
ring buckle umbrella,17278.0,70850.0,34772.0,3,2025-01,2025-09,,True,2025-01;2025-02;2025-09
christmas light necklace light up,18010.0,49903.0,33956.5,2,2025-11,2025-12,,True,2025-11;2025-12
lucky charms shirt,18327.0,85098.0,51712.5,2,2025-02,2025-03,,True,2025-02;2025-03
mothers day jewelry,18639.0,54299.0,36469.0,2,2025-04,2025-05,,True,2025-04;2025-05
girls bracelet making kit,18995.0,140822.0,60942.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
halloween bracelets,19506.0,127071.0,39650.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
st patricks day earrings,19542.0,194068.0,45184.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
ultrasonic jewelry cleaner cleaning machine,19662.0,19662.0,19662.0,1,2025-10,2025-10,,True,2025-10
christmas nail charms,19902.0,130139.0,26329.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
valentine earrings for women,19903.0,29874.0,24888.5,2,2025-01,2025-02,,True,2025-01;2025-02
red choker,20303.0,98251.0,59277.0,2,2025-09,2025-10,,True,2025-09;2025-10
dr chilly ice ring,20641.0,159672.0,41293.5,4,2025-04,2025-07,,True,2025-04;2025-05;2025-06;2025-07
mothers day necklace,20973.0,67138.0,44055.5,2,2025-04,2025-05,,True,2025-04;2025-05
4th of july earrings for women,21138.0,170913.0,103070.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
thanksgiving earrings for women,21963.0,67004.0,44483.5,2,2025-10,2025-11,,True,2025-10;2025-11
christmas necklaces for women,21993.0,51389.0,36691.0,2,2025-11,2025-12,,True,2025-11;2025-12
vampire necklace,22542.0,129474.0,76008.0,2,2025-09,2025-10,,True,2025-09;2025-10
halloween nail charms,22718.0,68748.0,27032.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
lucky charms marshmallows only 40 pounds,23253.0,23253.0,23253.0,1,2025-03,2025-03,,True,2025-03
jewelry advent calendar 2025,23299.0,121252.0,65849.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
charlie kirk bracelet,23379.0,57687.0,40533.0,2,2025-09,2025-10,,True,2025-09;2025-10
oracle ring,23408.0,57386.0,34847.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
make it real swift clicks bracelet maker,23746.0,166119.0,44890.5,4,2025-07,2025-12,,True,2025-07;2025-10;2025-11;2025-12
st patricks day necklaces,24007.0,120095.0,72051.0,2,2025-02,2025-03,,True,2025-02;2025-03
cool maker stack d heishi bracelet studio,24276.0,191778.0,40932.5,4,2025-08,2025-12,,True,2025-08;2025-10;2025-11;2025-12
halloween jewelry,24491.0,78618.0,32960.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
pumpkin earrings,24800.0,184715.0,56735.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
halloween charms,25381.0,105690.0,41310.5,4,2025-07,2025-10,,True,2025-07;2025-08;2025-09;2025-10
valentines day earrings,25391.0,34501.0,29946.0,2,2025-01,2025-02,,True,2025-01;2025-02
valentine earrings,26258.0,26957.0,26607.5,2,2025-01,2025-02,,True,2025-01;2025-02
christmas lights necklace,26290.0,74756.0,50523.0,2,2025-11,2025-12,,True,2025-11;2025-12
lucky charm anne marie meyer,26439.0,114320.0,70379.5,2,2025-01,2025-02,,True,2025-01;2025-02
christmas charms,26447.0,123343.0,53710.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
best selling beach jewelry,26757.0,81972.0,31175.0,3,2025-06,2025-08,,True,2025-06;2025-07;2025-08
jewelry advent calendar,26758.0,160004.0,93935.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
christmas bracelets,27409.0,151534.0,36244.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
st patricks day earrings for women,27511.0,49644.0,38577.5,2,2025-02,2025-03,,True,2025-02;2025-03
fall earrings,27964.0,79543.0,56357.0,4,2025-08,2025-11,,True,2025-08;2025-09;2025-10;2025-11
fake gold chain,28461.0,104599.0,66530.0,2,2025-09,2025-10,,True,2025-09;2025-10
mint and lily jewelry,28492.0,133739.0,103822.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
holiday earrings,28729.0,117733.0,42031.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
cooling neck ring,28949.0,132547.0,67593.0,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
date night jewelry prime day deals,29163.0,29163.0,29163.0,1,2025-07,2025-07,,True,2025-07
easter napkin rings,29989.0,119514.0,43521.0,3,2025-02,2025-04,,True,2025-02;2025-03;2025-04
valentines day necklace,30291.0,30291.0,30291.0,1,2025-02,2025-02,,True,2025-02
halloween led rings,30417.0,65314.0,47865.5,2,2025-09,2025-10,,True,2025-09;2025-10
pride bracelet,30600.0,188659.0,105747.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
halloween rings,31058.0,62809.0,46933.5,2,2025-09,2025-10,,True,2025-09;2025-10
jewelry organizer for women,31117.0,31117.0,31117.0,1,2025-01,2025-01,,True,2025-01
christmas necklace light up,31323.0,114031.0,72677.0,2,2025-11,2025-12,,True,2025-11;2025-12
easter earrings for women,31347.0,86496.0,51267.0,3,2025-02,2025-04,,True,2025-02;2025-03;2025-04
jesus loves you bracelets,31423.0,199775.0,116851.5,4,2025-04,2025-11,,True,2025-04;2025-09;2025-10;2025-11
halloween jewelry for women,32296.0,163403.0,69207.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
skeleton earrings,32317.0,95963.0,64140.0,2,2025-09,2025-10,,True,2025-09;2025-10
fall earrings for women,32494.0,113761.0,70953.5,4,2025-08,2025-11,,True,2025-08;2025-09;2025-10;2025-11
