term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
christmas earrings,1210.0,170774.0,41366.0,6,2025-07,2025-12,0.01975273665903314,True
christmas earrings for women,1900.0,130502.0,17543.5,4,2025-09,2025-12,,True
cool maker bracelet maker,3961.0,87412.0,8551.0,6,2025-07,2025-12,0.4124073935493527,True
christmas necklace,7597.0,122591.0,18885.0,3,2025-10,2025-12,,True
the christmas ring,8560.0,51199.0,13652.0,3,2025-10,2025-12,,True
christmas light necklace,10312.0,117051.0,29432.0,3,2025-10,2025-12,,True
christmas napkin rings,10864.0,76352.0,13632.0,3,2025-10,2025-12,,True
light up christmas necklace,13128.0,33302.0,23215.0,2,2025-11,2025-12,,True
mini travel jewelry bag,14471.0,169479.0,90614.0,6,2025-07,2025-12,0.3973733298629186,True
grinch earrings,14635.0,34210.0,24422.5,2,2025-11,2025-12,,True
costume jewelry,15374.0,146289.0,100999.0,5,2025-08,2025-12,,True
christmas jewelry for women,16168.0,133889.0,29585.0,3,2025-10,2025-12,,True
christmas jewelry,16232.0,100656.0,22277.0,3,2025-10,2025-12,,True
black choker necklace,16995.0,151443.0,145425.0,5,2025-08,2025-12,,True
christmas light necklace light up,18010.0,49903.0,33956.5,2,2025-11,2025-12,,True
girls bracelet making kit,18995.0,140822.0,60942.0,3,2025-10,2025-12,,True
christmas nail charms,19902.0,130139.0,26329.0,3,2025-10,2025-12,,True
christmas necklaces for women,21993.0,51389.0,36691.0,2,2025-11,2025-12,,True
backpack charms,23282.0,180298.0,133493.0,7,2025-06,2025-12,4.9058182584354215,True
jewelry advent calendar 2025,23299.0,121252.0,65849.0,3,2025-10,2025-12,,True
oracle ring,23408.0,57386.0,34847.5,4,2025-09,2025-12,,True
make it real bracelet maker,24355.0,189703.0,35512.0,5,2025-08,2025-12,,True
christmas lights necklace,26290.0,74756.0,50523.0,2,2025-11,2025-12,,True
christmas charms,26447.0,123343.0,53710.0,4,2025-09,2025-12,,True
jewelry advent calendar,26758.0,160004.0,93935.5,4,2025-09,2025-12,,True
arm cuff gold,27215.0,178172.0,83912.0,9,2025-04,2025-12,1.7395834656975488,True
christmas bracelets,27409.0,151534.0,36244.0,3,2025-10,2025-12,,True
mint and lily jewelry,28492.0,133739.0,103822.5,4,2025-09,2025-12,,True
holiday earrings,28729.0,117733.0,42031.0,3,2025-10,2025-12,,True
rose in chains julie soto,28862.0,159380.0,116420.0,6,2025-07,2025-12,2.784651360544218,True
chain belts for women,30489.0,171789.0,99636.0,9,2025-04,2025-12,0.38899763130646925,True
christmas necklace light up,31323.0,114031.0,72677.0,2,2025-11,2025-12,,True
hemios hematite bracelet men,32702.0,77934.0,44038.5,4,2025-09,2025-12,,True
christmas light up necklace,32961.0,72542.0,52751.5,2,2025-11,2025-12,,True
dont let the hard days win bracelet,35624.0,77739.0,44036.0,5,2025-08,2025-12,,True
grinch earrings for women,35934.0,66772.0,51353.0,2,2025-11,2025-12,,True
candy cane earrings,36668.0,83649.0,60158.5,2,2025-11,2025-12,,True
scarf necklace,37233.0,133123.0,65237.0,7,2025-06,2025-12,1.333583702500115,True
