term,spike_month,spike_rank,median_rank,improve_ratio,is_category
jewelry box,2025-12,330,1445.0,0.772,True
kendra scott necklace,2025-12,541,2059.5,0.737,True
jewelry box,2025-11,568,1445.0,0.607,True
kendra scott necklace,2025-11,587,2059.5,0.715,True
bracelet making kit,2025-11,631,1650.0,0.618,True
ring,2025-07,641,1582.5,0.595,True
bracelet making kit,2025-12,646,1650.0,0.608,True
jewelry box,2025-01,710,1445.0,0.509,True
pandora charms,2025-12,820,3136.0,0.739,True
tiffany & co jewelry,2025-07,1001,45560.0,0.978,True
cross necklace for women,2025-09,1003,2988.0,0.664,True
gold earrings,2025-12,1033,2929.5,0.647,True
gold earrings,2025-11,1065,2929.5,0.636,True
gold earrings,2025-10,1077,2929.5,0.632,True
gold earrings,2025-09,1204,2929.5,0.589,True
christmas earrings,2025-12,1210,41366.0,0.971,True
ankle bracelets for women,2025-06,1439,5846.5,0.754,True
necklace,2025-12,1441,3330.5,0.567,True
ankle bracelets for women,2025-05,1758,5846.5,0.699,True
ankle bracelets for women,2025-07,1807,5846.5,0.691,True
gold necklace,2025-09,1893,5043.5,0.625,True
gold necklace,2025-10,2014,5043.5,0.601,True
women's jewelry,2025-02,2259,9674.5,0.766,True
gold necklace,2025-11,2323,5043.5,0.539,True
gold necklace,2025-12,2437,5043.5,0.517,True
christmas earrings,2025-11,2510,41366.0,0.939,True
lucky charms marshmallows only,2025-03,2586,19040.5,0.864,True
travel jewelry case,2025-12,2592,7117.5,0.636,True
pandora bracelets for women,2025-12,2779,6355.5,0.563,True
ankle bracelets for women,2025-04,2822,5846.5,0.517,True
mosquito repellent bracelets,2025-06,3316,20350.0,0.837,True
anklets for women,2025-06,3567,9679.5,0.631,True
napkin rings,2025-11,3573,13220.5,0.73,True
gold dangle earrings for women,2025-08,3594,45531.0,0.921,True
women's jewelry,2025-01,3898,9674.5,0.597,True
anklets for women,2025-05,3900,9679.5,0.597,True
mosquito repellent bracelets,2025-07,3947,20350.0,0.806,True
shower curtain rings,2025-09,3949,8059.0,0.51,True
cool maker bracelet maker,2025-10,3961,8551.0,0.537,True
shower curtain rings,2025-08,3970,8059.0,0.507,True
pandora bracelet,2025-12,4207,11797.5,0.643,True
copper bracelets for women,2025-12,4241,34162.5,0.876,True
women's jewelry,2025-03,4354,9674.5,0.55,True
toe rings for women,2025-06,4481,13725.0,0.674,True
kendra scott bracelet,2025-12,4525,15339.0,0.705,True
jewelry boxes for women,2025-12,5167,21702.5,0.762,True
rain chain,2025-05,5219,25400.0,0.795,True
toe rings for women,2025-05,5285,13725.0,0.615,True
anklet,2025-06,5479,13822.0,0.604,True
bogg bag charms,2025-06,5549,13769.5,0.597,True
bracelet,2025-12,5651,11344.0,0.502,True
bogg bag charms,2025-05,5673,13769.5,0.588,True
toe rings for women,2025-07,5718,13725.0,0.583,True
kendra scott earrings,2025-12,5838,19224.5,0.696,True
jewelry box for girls,2025-12,5895,44600.0,0.868,True
heart earrings,2025-02,6187,77045.5,0.92,True
kendra scott bracelet,2025-11,6313,15339.0,0.588,True
copper bracelets for women,2025-11,6333,34162.5,0.815,True
anklet,2025-05,6440,13822.0,0.534,True
anklet,2025-07,6490,13822.0,0.53,True
couples bracelets,2025-02,6532,16016.0,0.592,True
gold bracelets,2025-09,6605,15599.0,0.577,True
nose studs,2025-07,6659,17083.0,0.61,True
jewelry making kit,2025-12,6937,23706.0,0.707,True
black choker,2025-10,7065,63015.0,0.888,True
