term,best_rank,median_rank,months_present,trend_ratio,first_month,last_month,is_category
christmas earrings,1210.0,41366.0,6,0.01975273665903314,2025-07,2025-12,True
bracelet maker,10769.0,52873.5,12,0.08007440706867153,2025-01,2025-12,True
copper bracelets for women,4241.0,34162.5,12,0.0847586926844937,2025-01,2025-12,True
kendra scott jewelry,13973.0,57203.0,11,0.10041763239602922,2025-02,2025-12,True
ring conn,16200.0,65150.0,12,0.10325099164389982,2025-01,2025-12,True
women's necklaces,15390.0,78052.5,10,0.1646331434381495,2025-01,2025-12,True
jewelry box for girls,5895.0,44600.0,12,0.17667227325656618,2025-01,2025-12,True
rose in chains,8560.0,43672.0,11,0.19650680682968236,2025-01,2025-12,True
kendra scott cross necklace,24793.0,111483.0,12,0.196748050732164,2025-01,2025-12,True
jewelry making kit for girls 8-12,18153.0,137562.0,12,0.2022935002854329,2025-01,2025-12,True
sunchill float ring,23282.0,63902.0,6,0.21752877197420006,2025-03,2025-08,True
locket necklace,14671.0,82573.0,12,0.2231573504911817,2025-01,2025-12,True
toddler jewelry,36030.0,137595.0,11,0.22503102286828577,2025-02,2025-12,True
copper bracelet for men,9625.0,27280.5,12,0.22889308795274466,2025-01,2025-12,True
girls jewelry box,14308.0,69391.0,12,0.23426225603519538,2025-01,2025-12,True
jewelry set,10548.0,22046.5,12,0.23722999291784702,2025-01,2025-12,True
breast cancer bracelets,30576.0,164984.0,6,0.2384753057044133,2025-03,2025-10,True
girls jewelry,19951.0,105008.5,12,0.25161215552851385,2025-01,2025-12,True
jewelry for girls,31874.0,114620.5,10,0.2544741427752456,2025-02,2025-12,True
david yurman bracelet,28033.0,56883.5,10,0.25472883387275136,2025-01,2025-12,True
kids jewelry,21697.0,103733.5,12,0.2549113268833267,2025-01,2025-12,True
women's earrings,19855.0,94302.5,12,0.26496297031310606,2025-01,2025-12,True
jewelry making kit for girls 4-6,45422.0,150881.5,10,0.28526734019610966,2025-01,2025-12,True
kids jewelry box,24898.0,90145.5,12,0.29021695074343495,2025-01,2025-12,True
gold earrings,1033.0,2929.5,12,0.2937120794263651,2025-01,2025-12,True
sterling silver jewelry,22489.0,83876.5,12,0.3035411582810201,2025-01,2025-12,True
gold hair cuffs,11019.0,62375.0,11,0.3046469598826182,2025-01,2025-11,True
gold earrings hoops,42096.0,118803.5,12,0.3103477363718359,2025-01,2025-12,True
ring conn gen 2,34429.0,87152.5,12,0.31938572690560324,2025-01,2025-12,True
kendra scott necklace,541.0,2059.5,12,0.32903587443946186,2025-01,2025-12,True
kindle charms,24021.0,53031.5,12,0.3297402202632871,2025-01,2025-12,True
gold necklace,1893.0,5043.5,12,0.3322843656129309,2025-01,2025-12,True
jewelry for teens,55733.0,135808.0,10,0.3337313307777708,2025-01,2025-12,True
earrings for girls 8-12,31840.0,151683.5,12,0.33833540185791117,2025-01,2025-12,True
napkin rings set of 12,22686.0,137685.5,12,0.33935411956794775,2025-01,2025-12,True
hope rings,49756.0,98140.5,10,0.3454378812300496,2025-03,2025-12,True
women's jewelry sets,59844.0,71588.0,7,0.3492237369595265,2025-04,2025-12,True
