x,n_terms,best_rank_median,best_rank_min,rep_terms
women,13029,93348.0,10,spring tops for women | gifts for women | beach vacation clothes for women
men,4785,97421.0,18,gifts for men | pheromone cologne for men | stocking stuffers for men
kids,2525,99582.0,32,nail biting treatment for kids | valentines day gifts for kids | magnesium lotion for kids
girls,1343,99988.0,478,backpack for girls | stitch gifts for girls | jansport backpack for girls
adults,1325,97006.0,90,white elephant gifts for adults | bad breath treatment for adults | n95 masks for adults
dogs,794,98617.0,126,no chew spray for dogs | yeast infection treatment for dogs | probiotics for dogs
christmas,705,97369.0,31,christmas gifts for grandkids | christmas gift bags | christmas gifts
boys,662,104673.5,913,teen boys gift ideas | advent calendar for boys | stocking stuffers for boys
day,539,85150.0,3,mothers day gifts | fathers day gifts | valentines day gifts for her
home,368,92784.5,110,fall decorations for home | vacuum cleaners for home | air purifiers for home
car,331,104732.0,2192,snow brush for car | magnetic phone holder for car | phone mount for car
bedroom,317,96702.0,35,humidifiers for bedroom | dresser for bedroom | led lights for bedroom
birthday,264,108067.5,289,birthday gifts for women | birthday gifts for men | birthday gift for women
outside,261,87571.0,1159,american flags for outside | hammock with stand for outside | wind chimes for outside
living room,224,113774.5,323,couches for living room | sectional couches for living room | rugs for living room
face,224,91375.0,51,stem cell serum for face | red light therapy for face | azelaic acid for face
christmas tree,222,114655.5,5137,velvet bows for christmas tree | red bows for christmas tree | velvet ornaments for christmas tree
woman,209,76287.0,242,blue light glasses for woman | hoka shoes for woman | skorts for woman
cats,198,100757.5,1190,lysine for cats | calming collar for cats | flea and tick prevention for cats
classroom,195,100182.0,4495,treasure box toys for classroom | fidgets for classroom | velcro dots for classroom
teens,194,85178.5,766,easter basket stuffers for teens | christmas gifts for teens | period swimwear for teens
toddlers,187,113418.0,2413,felt christmas tree for toddlers | ball pit for toddlers | stocking stuffers for toddlers
school,186,90794.0,388,headphones for school | kids headphones for school | notebooks for school
baby,174,112718.5,6008,humidifier for baby | baby gifts | nasal aspirator for baby
bathroom,163,111641.0,1312,towel warmers for bathroom | towel racks for bathroom | towels for bathroom
wall,161,103168.0,334,floating shelves for wall | mirrors for wall | hat rack for wall
hair,160,114223.5,934,heat protection spray for hair | spray bottle for hair | wax stick for hair
amazon,147,90365.0,2,amazon gift card | amazon gift cards physical | amazon gift cards digital
kitchen,144,105576.0,1041,cutting boards for kitchen | titanium cutting boards for kitchen | blenders for kitchen
crafts,140,117089.0,12988,pom poms for crafts | magnets for crafts | clear ornaments for crafts
teen girls,137,102057.0,240,stocking stuffers for teen girls | gifts for teen girls | advent calendar for teen girls
elephant,129,85552.0,25,white elephant gifts | white elephant gifts for adults | white elephant gift ideas
seniors,127,107868.0,300,maxi dresses for seniors | women shorts for seniors | rompers for seniors
mom,127,79746.0,9,mothers day gifts for mom | gifts for mom | mom gifts
