term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,seeds,themes
bogg bag,196.0,2563.0,1116.5,12,2025-01,2025-12,1.035022354694486,False,bogg bag,charm潮流
mosquito repellent outdoor patio,250.0,146583.0,3981.0,12,2025-01,2025-12,0.32919827569979104,False,mosquito repellent,功能康复珠宝
divorced sister,363.0,81072.0,10802.0,7,2025-06,2025-12,61.69214437367304,False,divorce*,人生重启
mosquito repellent,430.0,12232.0,1984.0,12,2025-01,2025-12,0.8416499304804573,False,mosquito repellent,功能康复珠宝
bogg bag accessories,487.0,8846.0,2798.0,12,2025-01,2025-12,2.081763122476447,False,bogg bag,charm潮流
divorce in the black tyler perry,1469.0,40990.0,7776.5,12,2025-01,2025-12,8.339251439539348,False,divorce*,人生重启
breast cancer awareness accessories,1589.0,148802.0,105154.5,12,2025-01,2025-12,0.7871142209449691,False,awareness,疾病康复
mermaid costume women,1953.0,178681.0,113630.5,10,2025-02,2025-11,0.050853753250115374,False,mermaid,风格审美
fantasy football draft board 2025,2004.0,13918.0,7961.0,2,2025-07,2025-08,,False,fantasy football,运动兴趣
the perfect divorce jeneva rose,2026.0,180018.0,20841.0,9,2025-01,2025-09,2.021170175642666,False,divorce*,人生重启
friendship,2115.0,160437.0,15079.0,9,2025-02,2025-12,5.443640871990908,False,friendship,关系联结
mosquito repellent stickers,2278.0,113391.0,18623.0,9,2025-03,2025-11,1.0564593040682306,False,mosquito repellent,功能康复珠宝
breast cancer awareness shirt,2297.0,93637.0,7732.0,3,2025-08,2025-10,,False,awareness,疾病康复
autism awareness shirt,2443.0,180978.0,57781.0,6,2025-02,2025-09,44.13924777490669,False,awareness,疾病康复
y2k tops,2821.0,12831.0,4811.5,12,2025-01,2025-12,0.928780896522832,False,y2k,风格审美
the perfect divorce,3197.0,62292.0,16149.5,12,2025-01,2025-12,0.37988461601320545,False,divorce*,人生重启
nurse jackie,3299.0,85445.0,10248.5,12,2025-01,2025-12,10.955652396821328,False,nurse,军警职业
the divorce insurance,3445.0,129742.0,61022.5,6,2025-03,2025-08,3.8807928400730987,False,divorce*,人生重启
nurse costume,3830.0,140477.0,74973.0,5,2025-07,2025-11,,False,nurse,军警职业
thunder shirt for dogs anxiety,4124.0,39994.0,23199.0,12,2025-01,2025-12,1.2275367864472815,False,anxiety,心理健康
y2k,4326.0,6333.0,5252.5,12,2025-01,2025-12,1.127038626609442,False,y2k,风格审美
the saint,5311.0,133656.0,62693.0,12,2025-01,2025-12,1.9973753743174212,False,saint,信仰精神
mermaid costume for girls,5578.0,174886.0,66879.0,7,2025-06,2025-12,0.5971428844810595,False,mermaid,风格审美
mermaid top,5799.0,163419.0,91424.0,6,2025-05,2025-10,0.21228299503569015,False,mermaid,风格审美
mermaid accessories,5914.0,154552.0,69104.5,6,2025-05,2025-10,0.32958460847047744,False,mermaid,风格审美
bible verse jar,5953.0,81348.0,31108.0,12,2025-01,2025-12,0.592626509293176,False,bible verse,宗教扩展
retirement party decorations,6134.0,25170.0,14333.0,12,2025-01,2025-12,1.5321861057998725,False,retirement,成就节点
fantasy football trophy,6178.0,151150.0,32052.0,9,2025-01,2025-12,0.6099766966366372,False,fantasy football,运动兴趣
gas masks survival nuclear and chemical military grade,6285.0,189564.0,63060.0,11,2025-01,2025-11,3.4317446885671976,False,military,军警职业
firefighter costume women,6783.0,45106.0,25944.5,2,2025-09,2025-10,,False,firefighter,军警职业
saint patricks day shirt,6800.0,27153.0,16976.5,2,2025-02,2025-03,,False,saint,信仰精神
gothic dress,7220.0,61200.0,46722.5,12,2025-01,2025-12,0.8598230832425823,False,gothic,风格审美
mermaid tail for swimming,7321.0,147162.0,62659.5,12,2025-01,2025-12,1.2321796311897406,False,mermaid,风格审美
nurse essentials,7376.0,150709.0,10825.0,12,2025-01,2025-12,0.07216926470038504,False,nurse,军警职业
mermaid birthday decorations,7407.0,46614.0,11955.5,12,2025-01,2025-12,2.537119962290832,False,mermaid,风格审美
y2k clothes,7468.0,14727.0,10225.0,12,2025-01,2025-12,1.325912733748887,False,y2k,风格审美
mermaid skirt,8019.0,199100.0,99676.0,10,2025-01,2025-10,0.1936093741649297,False,mermaid,风格审美
nurse costume woman,8213.0,51238.0,29725.5,2,2025-09,2025-10,,False,nurse,军警职业
prayer journal for woman,8336.0,25764.0,19517.5,12,2025-01,2025-12,1.2732438339057135,False,prayer,信仰精神
nurse accessories for work,8407.0,132774.0,89514.0,12,2025-01,2025-12,15.050701937579765,False,nurse,军警职业
byoma hydrating recovery oil,8439.0,182984.0,71872.0,8,2025-01,2025-08,7.186035257518148,False,recovery,戒断康复
anxiety relief items,8617.0,14019.0,12230.5,12,2025-01,2025-12,1.2945430003856537,False,anxiety,心理健康
gothic clothes for women,8638.0,20795.0,14834.5,12,2025-01,2025-12,1.0924078692158492,False,gothic,风格审美
firefighter costume men,8710.0,124902.0,66806.0,2,2025-09,2025-10,,False,firefighter,军警职业
heartland on up faith and family,8868.0,72498.0,43765.5,12,2025-01,2025-12,0.9123263727477268,False,faith,信仰精神
sweet 16 party decorations,9019.0,28878.0,13204.5,12,2025-01,2025-12,1.6530461234892708,False,sweet 16,身份仪式
mermaid barbie,9362.0,70324.0,30207.0,12,2025-01,2025-12,0.1628218250531454,False,mermaid,风格审美
police officer costume for boys,9405.0,158931.0,142860.0,8,2025-01,2025-12,0.6786848304824337,False,police officer,军警职业
quinceanera dresses,9451.0,32748.0,15064.5,12,2025-01,2025-12,2.8980404164115123,False,quincea*,身份仪式
saint patricks day decorations,9460.0,79944.0,23788.0,3,2025-01,2025-03,,False,saint,信仰精神
communion cups and wafer set,9465.0,22125.0,16872.0,12,2025-01,2025-12,1.492133891213389,False,communion,身份仪式
mermaid tail,9669.0,36802.0,16637.5,12,2025-01,2025-12,2.0837746750120365,False,mermaid,风格审美
firefighter costume for kids,9939.0,164893.0,115253.0,11,2025-01,2025-12,0.7929338064952756,False,firefighter,军警职业
mre meals military 2025,9979.0,36226.0,20279.0,11,2025-02,2025-12,1.2849497699746502,False,military,军警职业
anxiety,10368.0,50694.0,33462.5,12,2025-01,2025-12,1.3592610730220915,False,anxiety,心理健康
gothic dresses for women,10715.0,114023.0,77474.0,12,2025-01,2025-12,0.8790743936343591,False,gothic,风格审美
urns for human ashes,10751.0,114648.0,75881.5,12,2025-01,2025-12,0.13304084134460287,False,ashes,纪念哀悼
silent hill nurse costume,11067.0,93887.0,26796.0,3,2025-08,2025-10,,False,nurse,军警职业
y2k sunglasses,11212.0,41440.0,13590.5,12,2025-01,2025-12,1.5503132910079256,False,y2k,风格审美
first communion dress for girls,11213.0,152485.0,34169.0,7,2025-01,2025-10,7.55381447441113,False,communion,身份仪式
first communion decorations,11264.0,146097.0,38980.0,4,2025-02,2025-05,,False,communion,身份仪式
sympathy cards,11301.0,26455.0,17626.0,12,2025-01,2025-12,2.230299380591879,False,sympathy,纪念哀悼
beyond anxiety martha beck,11321.0,178586.0,57382.0,3,2025-01,2025-03,,False,anxiety,心理健康
breast cancer awareness,11833.0,93583.0,17761.0,3,2025-08,2025-10,,False,awareness,疾病康复
nurse badge reel,11934.0,17564.0,13673.5,12,2025-01,2025-12,1.2693886526902214,False,nurse,军警职业
purity coffee,12732.0,29035.0,23536.5,12,2025-01,2025-12,0.9597603854668577,False,purity,承诺誓约
military movies,12793.0,72941.0,29357.0,12,2025-01,2025-12,4.307402760351318,False,military,军警职业
anxiety doechii,12805.0,178232.0,66373.0,6,2025-02,2025-07,1.9998416092500197,False,anxiety,心理健康
