seed,theme,family_size,term,best_rank,months_present,months_on_list,has_gift,has_marker,is_category,is_bare_scenario
awareness,疾病康复,56,breast cancer awareness accessories,1589,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
awareness,疾病康复,56,breast cancer awareness shirt,2297,3,2025-08;2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,autism awareness shirt,2443,6,2025-02;2025-03;2025-04;2025-05;2025-06;2025-09,False,False,False,True
awareness,疾病康复,56,breast cancer awareness,11833,3,2025-08;2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness decorations,14106,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,mental health awareness shirt,15841,2,2025-04;2025-05,False,False,False,True
awareness,疾病康复,56,down syndrome awareness shirts,20710,2,2025-03;2025-10,False,False,False,True
awareness,疾病康复,56,autism awareness,22145,3,2025-02;2025-03;2025-04,False,False,False,True
awareness,疾病康复,56,mental health awareness items,22197,3,2025-03;2025-04;2025-05,False,False,False,True
awareness,疾病康复,56,suicide awareness shirt,22810,4,2025-03;2025-08;2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,autism awareness stuff,35087,3,2025-03;2025-04;2025-05,False,False,False,True
awareness,疾病康复,56,breast cancer awareness socks,39754,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,childhood cancer awareness shirts,44587,1,2025-09,False,False,False,True
awareness,疾病康复,56,breast cancer awareness pins,47803,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness bracelets,48065,2,2025-09;2025-10,False,False,True,False
awareness,疾病康复,56,awareness anthony de mello,52340,4,2025-05;2025-06;2025-07;2025-12,False,False,False,True
awareness,疾病康复,56,cancer awareness shirts,52666,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,suicide prevention awareness,56067,2,2025-08;2025-09,False,False,False,True
awareness,疾病康复,56,autism awareness shirt kids,59576,2,2025-03;2025-04,False,False,False,True
awareness,疾病康复,56,breast cancer awareness shirt men,70910,1,2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness sweatshirt,74157,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,awareness,74379,6,2025-06;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
awareness,疾病康复,56,cancer awareness items,76604,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,domestic violence awareness shirt,76604,1,2025-10,False,False,False,True
awareness,疾病康复,56,mens breast cancer awareness shirt,85334,1,2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness shirts,88472,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,suicide prevention awareness shirt,90576,1,2025-09,False,False,False,True
awareness,疾病康复,56,domestic violence awareness items,94032,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,suicide awareness items,94423,1,2025-09,False,False,False,True
awareness,疾病康复,56,autism awareness bracelet,101917,2,2025-03;2025-04,False,False,True,False
awareness,疾病康复,56,alzheimers awareness shirts,109923,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,down syndrome awareness,110139,1,2025-03,False,False,False,True
awareness,疾病康复,56,mental health awareness,113455,2,2025-04;2025-05,False,False,False,True
awareness,疾病康复,56,breast cancer awareness stickers,114617,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness earrings,114842,1,2025-10,False,False,True,False
awareness,疾病康复,56,breast cancer awareness shirts for women,123437,1,2025-10,False,False,False,True
awareness,疾病康复,56,down syndrome awareness socks,130282,1,2025-03,False,False,False,True
awareness,疾病康复,56,suicide awareness,137605,4,2025-02;2025-03;2025-08;2025-09,False,False,False,True
awareness,疾病康复,56,boys breast cancer awareness shirts,140361,1,2025-10,False,False,False,True
awareness,疾病康复,56,autism awareness shirt men,151355,2,2025-03;2025-04,False,False,False,True
awareness,疾病康复,56,autism awareness shirt women,156160,2,2025-03;2025-04,False,False,False,True
awareness,疾病康复,56,suicide awareness bracelets,156976,1,2025-09,False,False,True,False
awareness,疾病康复,56,breast cancer awareness banner,160215,1,2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness pin,163136,1,2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness t-shirts,167769,2,2025-09;2025-10,False,False,False,True
awareness,疾病康复,56,breast cancer awareness pens,169178,1,2025-10,False,False,False,True
awareness,疾病康复,56,colon cancer awareness shirts,169882,1,2025-03,False,False,False,True
awareness,疾病康复,56,childhood cancer awareness items,173011,1,2025-09,False,False,False,True
awareness,疾病康复,56,lupus awareness shirt,174342,1,2025-05,False,False,False,True
awareness,疾病康复,56,epilepsy awareness shirts,181121,1,2025-03,False,False,False,True
awareness,疾病康复,56,autism awareness decorations,183448,1,2025-03,False,False,False,True
awareness,疾病康复,56,overdose awareness shirt,183754,1,2025-08,False,False,False,True
awareness,疾病康复,56,cerebral palsy awareness shirt,184724,1,2025-03,False,False,False,True
awareness,疾病康复,56,ovarian cancer awareness products,187870,1,2025-09,False,False,False,True
awareness,疾病康复,56,pink ribbon breast cancer awareness,194815,1,2025-10,False,False,False,True
awareness,疾病康复,56,diabetes awareness shirt,195169,1,2025-11,False,False,False,True
prayer,信仰精神,53,prayer journal for woman,8336,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer mat,15515,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer journal,16597,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer board supplies,31207,6,2025-01;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer board supplies for women,32157,3,2025-01;2025-02;2025-03,False,False,False,True
prayer,信仰精神,53,prayer board,38440,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer rug,43158,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer cards,58171,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,get lost in prayer before you start overthinking,61203,1,2025-03,False,False,False,True
prayer,信仰精神,53,catholic prayer book,62561,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,covered and armed prayer book,64999,3,2025-08;2025-09;2025-10,False,False,False,True
prayer,信仰精神,53,prayer bowl,65232,2,2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,a carpenters prayer,67600,2,2025-03;2025-04,False,False,False,True
prayer,信仰精神,53,anointing oil for prayer,75052,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer book,76271,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,muslim prayer rug,76945,2,2025-02;2025-03,False,False,False,True
prayer,信仰精神,53,prayer journal for men,77552,9,2025-01;2025-02;2025-03;2025-04;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer shawl,78213,9,2025-01;2025-02;2025-03;2025-04;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer quilt with cross inside,81469,10,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-12,False,False,False,True
prayer,信仰精神,53,on a wing and a prayer movie,85338,9,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09,False,False,False,True
prayer,信仰精神,53,rosary in a year prayer guide ascension press,85883,2,2025-01;2025-02,False,False,False,True
prayer,信仰精神,53,a prayer for owen meany by john irving,87371,9,2025-01;2025-02;2025-03;2025-04;2025-05;2025-08;2025-09;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer jar,97105,3,2025-01;2025-04;2025-12,False,False,False,True
prayer,信仰精神,53,athan clock for prayer with sound,100284,3,2025-01;2025-02;2025-03,False,False,False,True
prayer,信仰精神,53,orthodox prayer book,103482,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,book of common prayer,106557,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer box,107307,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,prayer journal for teen girls,110175,1,2025-12,False,False,False,True
prayer,信仰精神,53,prayer plant,110550,6,2025-03;2025-04;2025-05;2025-06;2025-07;2025-09,False,False,False,True
prayer,信仰精神,53,prayer journal for women,116609,3,2025-01;2025-09;2025-12,False,False,False,True
prayer,信仰精神,53,prayer quilt,117488,3,2025-09;2025-11;2025-12,False,False,False,True
prayer,信仰精神,53,a very merry christmas prayer,118172,2,2025-10;2025-11,False,False,False,True
prayer,信仰精神,53,prayer,128257,9,2025-01;2025-02;2025-03;2025-04;2025-05;2025-08;2025-09;2025-10;2025-12,False,False,False,True
prayer,信仰精神,53,red prayer book,129947,1,2025-03,False,False,False,True
prayer,信仰精神,53,prayer shawls for women,132232,7,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,False,False,False,True
prayer,信仰精神,53,the hunter's prayer,132965,2,2025-04;2025-11,False,False,False,True
prayer,信仰精神,53,the prayer of freedom,133085,1,2025-12,False,False,False,True
prayer,信仰精神,53,prayer beads,136578,11,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-12,False,False,False,True
prayer,信仰精神,53,serenity prayer,138832,10,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-12,False,False,False,True
prayer,信仰精神,53,a prayer for owen meany,141801,1,2025-11,False,False,False,True
prayer,信仰精神,53,like a prayer,142257,2,2025-01;2025-02,False,False,False,True
