seed,theme,family_size,term,best_rank,months_present,months_on_list,has_gift,has_marker,is_category,is_bare_scenario
nurse,军警职业,131,nurse appreciation gifts,956,2,2025-04;2025-05,True,False,False,False
nurse,军警职业,131,nurse jackie,3299,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
nurse,军警职业,131,nurse gifts,3751,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,True,False,False,False
nurse,军警职业,131,nurse costume,3830,5,2025-07;2025-08;2025-09;2025-10;2025-11,False,False,False,True
nurse,军警职业,131,nurse essentials,7376,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
nurse,军警职业,131,nurse costume woman,8213,2,2025-09;2025-10,False,False,False,True
nurse,军警职业,131,nurse accessories for work,8407,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
nurse,军警职业,131,silent hill nurse costume,11067,3,2025-08;2025-09;2025-10,False,False,False,True
nurse,军警职业,131,nurse badge reel,11934,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
nurse,军警职业,131,nurse bag,14277,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,False,False,False,True
nurse,军警职业,131,nurse gifts for women,14643,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,True,False,False,False
nurse,军警职业,131,sexy nurse costume outfit for women,19568,2,2025-09;2025-10,False,False,False,True
