x,n_terms,best_rank_median,best_rank_min,rep_terms
women,736,99486.0,716,earrings for women | gold earrings for women | cross necklace for women
men,109,110526.0,2657,cross necklace for men | bracelets for men | gold chain for men
girls,48,93078.5,5895,jewelry box for girls | earrings for girls | croc charms for girls
jewelry making,38,117730.0,6866,beads for jewelry making | charms for jewelry making | glass beads for jewelry making
kids,26,121434.0,41919,airtag bracelet for kids | slap bracelets for kids | halloween rings for kids
bracelets,20,120912.0,4306,beads for bracelets | charms for bracelets | elastic string for bracelets
boys,16,138635.5,7558,baseball necklaces for boys | cross necklace for boys | croc charms for boys
couples,12,100552.5,10654,matching bracelets for couples | forever bracelets for couples | promise rings for couples
jewelry,12,113912.5,18185,jewelry gift box | jewelry gift boxes | small jewelry gift box
women gold,10,124673.0,41354,cross necklace for women gold | waterproof jewelry for women gold | earrings for women gold
loose rings,8,67658.0,1626,ring sizers for loose rings | ring guards for loose rings | adjusters for loose rings
mom,8,134997.5,45753,necklace for mom | jewelry for mom | mothers day jewelry for mom
teen girls,8,67298.5,36687,bracelets for teen girls | jewelry for teen girls | necklaces for teen girls
women trendy,7,43353.0,12481,earrings for women trendy | gold earrings for women trendy | bracelets for women trendy
woman,7,57672.0,41509,rubber wedding rings for woman | choker necklaces for woman | gold choker necklaces for woman
adults,6,69272.0,36652,hula hoops for adults | bracelet making kit for adults | jewelry making supplies for adults
women silver,6,132468.0,20068,cross necklace for women silver | necklaces for women silver | initial necklaces for women silver
ashes,5,55688.0,19290,urn necklaces for ashes | cremation jewelry for ashes | necklace for ashes
necklaces,5,129742.0,50015,magnetic clasps for necklaces | chain extenders for necklaces | magnetic jewelry clasps for necklaces
nails,4,133034.0,49792,charms for nails | bow charms for nails | gold charms for nails
purse,4,144533.0,112533,d rings for purse | coach charms for purse | gold chain for purse
crafts,4,137061.0,127015,christmas charms for crafts | wooden rings for crafts | charms for crafts
him,4,55084.5,2226,silicone rings for him | promise necklace for him | promise rings for him
dogs,4,144013.5,107566,choker collar for dogs | furlife flea and tick pendant for dogs | fur life flea and tick pendant for dogs
women dangling,4,161381.0,93415,pearl earrings for women dangling | christmas earrings for women dangling | heart earrings for women dangling
finger,3,170194.0,38354,crochet ring for finger | crochet tension ring for finger | ring cutter for finger
braids,3,71763.0,57338,hair charms for braids | hair jewelry for braids | hair rings for braids
women hypoallergenic,3,119309.0,63768,stud earrings for women hypoallergenic | hoop earrings for women hypoallergenic | sensitive earrings for women hypoallergenic
daughter,3,123170.0,62046,my little star book necklace for daughter | hug ring for daughter | necklace for daughter
prom,3,80994.0,80006,gold jewelry for prom | silver jewelry for prom | silver jewelry set for prom
brides,3,82439.0,50780,wedding jewelry sets for brides | wedding earrings for brides | wedding necklaces for brides
studs,3,97436.0,50451,earring backs for studs | strap on boxers for studs | flat earring backs for studs
vendors,3,67199.0,39281,jewelry display for vendors | earring display for vendors | necklace display for vendors
granddaughter,3,100166.0,96770,hug ring for granddaughter | book necklace for granddaughter | hope rings for granddaughter
handbags,3,19665.0,16494,bag charms for handbags | purse charms for handbags | purse chains for handbags
bracelet making,3,122541.0,28164,string for bracelet making | bracelet charms for bracelet making | bead kits for bracelet making
black women,2,166403.5,137670,loc jewelry for black women | african earrings for black women
suv,2,57266.5,48272,tire chains for suv | snow chains for suv
box,2,116426.0,91611,necklace box gift | earring box gift
frying eggs,2,119681.5,47631,egg rings for frying eggs | silicone egg rings for frying eggs
teens,2,85888.5,55733,jewelry for teens | earrings for teens
women dangle,2,86348.0,49362,gold earrings for women dangle | mardi gras earrings for women dangle
sneakers,2,72154.5,13956,shoe charms for sneakers | shoe jewelry for sneakers
trucks,2,38322.0,35329,snow chains for trucks | tire chains for trucks
pool heating,2,177133.0,159766,solar rings for pool heating | solar sun rings for pool heating
index cards,2,138460.0,89698,rings for index cards | metal rings for index cards
car keys,2,83524.5,46399,key rings for car keys | key chain for car keys
her,2,4698.0,1719,silicone rings for her | promise rings for her
necklace,2,86771.0,28170,necklace gift box | necklace gift box for women
baby,2,47942.0,45484,teething necklace for baby | amber teething necklace for baby
