theme,matched_keyword,term,months_present,months_on_list,best_rank,trend_ratio,is_category
charm潮流,bogg bag,bogg bag,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,196,1.035,False
charm潮流,bogg bag,bogg bag accessories,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,487,2.082,False
charm潮流,phone charm,phone charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,5345,0.994,True
charm潮流,bogg bag,bogg bag charms,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,5549,2.115,True
charm潮流,bag charm,bag charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,7055,0.763,True
charm潮流,italian charm,italian charm bracelet,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,7666,0.995,True
charm潮流,bogg bag,bogg bag large,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,25279,0.745,False
charm潮流,bag charm,coach bag charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,25302,0.394,True
charm潮流,bogg bag,bogg bag cup holder,11,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-11;2025-12,25709,1.771,False
charm潮流,purse charm,purse charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,28041,0.813,True
charm潮流,bogg bag,bogg bag phone holder,9,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-12,29278,0.808,False
charm潮流,bag charm,bag charm kit,8,2025-02;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,34957,0.51,True
charm潮流,bogg bag,mini bogg bag,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,36066,0.83,False
charm潮流,bogg bag,bogg bag small,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,38796,0.527,False
charm潮流,bogg bag,bogg bag divider,7,2025-01;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08,43210,0.289,False
charm潮流,bogg bag,bogg bag xl,5,2025-04;2025-05;2025-06;2025-07;2025-08,45172,,False
charm潮流,bag charm,cherry bag charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,46889,0.832,True
charm潮流,bag charm,jellycat bag charm,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,47208,0.943,True
charm潮流,bogg bag,bogg bag topper tray,3,2025-05;2025-06;2025-07,53988,,False
charm潮流,bogg bag,small bogg bag,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,54566,1.03,False
charm潮流,bogg bag,bitty bogg bag,12,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,55896,0.938,False
charm潮流,bogg bag,medium bogg bag,9,2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-11;2025-12,57939,1.628,False
charm潮流,bogg bag,bogg bag medium,10,2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,61058,0.795,False
charm潮流,bogg bag,baby bogg bag,11,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-11;2025-12,67072,1.094,False
