term,best_rank,months_present,trend_ratio,first_month,last_month,is_category,reasons
divorced sister,363.0,7,61.69214437367304,2025-06,2025-12,False,裸场景词×优质词族
graduation gifts for her,983.0,12,0.5457412167952014,2025-01,2025-12,False,Phase5命中×趋势向好
tiffany & co jewelry,1001.0,10,1.0461333388873846,2025-01,2025-10,True,品类季节spike
christmas earrings,1210.0,6,0.01975273665903314,2025-07,2025-12,True,品类季节spike；品类新入榜
ankle bracelets for women,1439.0,12,1.6707132018209407,2025-01,2025-12,True,品类季节spike
divorce in the black tyler perry,1469.0,12,8.339251439539348,2025-01,2025-12,False,裸场景词×优质词族
breast cancer awareness accessories,1589.0,12,0.7871142209449691,2025-01,2025-12,False,裸场景词×优质词族
gold necklace,1893.0,12,0.3322843656129309,2025-01,2025-12,True,品类季节spike
christmas earrings for women,1900.0,4,,2025-09,2025-12,True,品类新入榜
the perfect divorce jeneva rose,2026.0,9,2.021170175642666,2025-01,2025-09,False,裸场景词×优质词族
friendship,2115.0,9,5.443640871990908,2025-02,2025-12,False,裸场景词×优质词族
women's jewelry,2259.0,12,2.3468445356593124,2025-01,2025-12,True,品类季节spike
breast cancer awareness shirt,2297.0,3,,2025-08,2025-10,False,裸场景词×优质词族
autism awareness shirt,2443.0,6,44.13924777490669,2025-02,2025-09,False,裸场景词×优质词族
lucky charms marshmallows only,2586.0,12,3.75047854971287,2025-01,2025-12,True,品类季节spike
travel jewelry case,2592.0,12,0.5009034589571503,2025-01,2025-12,True,品类季节spike
pandora bracelets for women,2779.0,12,1.0119447555057857,2025-01,2025-12,True,品类季节spike
engagement rings for women,3137.0,12,1.9170305676855894,2025-01,2025-12,True,Phase5命中×品类
the perfect divorce,3197.0,12,0.37988461601320545,2025-01,2025-12,False,Phase5命中×趋势向好；裸场景词×优质词族
mosquito repellent bracelets,3316.0,12,1.4026190036169708,2025-01,2025-12,True,品类季节spike
the divorce insurance,3445.0,6,3.8807928400730987,2025-03,2025-08,False,裸场景词×优质词族
best friend gifts,3471.0,12,0.651012339762789,2025-01,2025-12,False,Phase5命中×趋势向好
anklets for women,3567.0,12,1.9190898708600546,2025-01,2025-12,True,品类季节spike
napkin rings,3573.0,12,0.6308214628385859,2025-01,2025-12,True,品类季节spike
gold dangle earrings for women,3594.0,12,1.6026553609282606,2025-01,2025-12,True,品类季节spike
graduation cords,3642.0,6,0.17346611454566663,2025-01,2025-06,False,Phase5命中×趋势向好
nurse gifts,3751.0,12,0.38044252351366614,2025-01,2025-12,False,Phase5命中×趋势向好
shower curtain rings,3949.0,12,0.5907888937858087,2025-01,2025-12,True,品类季节spike
cool maker bracelet maker,3961.0,6,0.4124073935493527,2025-07,2025-12,True,品类季节spike；品类新入榜
pandora bracelet,4207.0,12,0.5876270279907292,2025-01,2025-12,True,品类季节spike
copper bracelets for women,4241.0,12,0.0847586926844937,2025-01,2025-12,True,品类季节spike
toe rings for women,4481.0,12,2.3185453708498764,2025-01,2025-12,True,品类季节spike
kendra scott bracelet,4525.0,12,0.35119047619047616,2025-01,2025-12,True,品类季节spike
jewelry boxes for women,5167.0,12,0.5017291540868419,2025-01,2025-12,True,品类季节spike
friendship gifts for women,5178.0,12,0.6373952423090937,2025-01,2025-12,False,Phase5命中×趋势向好
rain chain,5219.0,12,0.7532830523513754,2025-01,2025-12,True,品类季节spike
the saint,5311.0,12,1.9973753743174212,2025-01,2025-12,False,裸场景词×优质词族
anklet,5479.0,12,1.142318810654553,2025-01,2025-12,True,品类季节spike
bogg bag charms,5549.0,12,2.114658831211231,2025-01,2025-12,True,品类季节spike
bracelet,5651.0,12,0.6038712581589016,2025-01,2025-12,True,品类季节spike
kendra scott earrings,5838.0,12,0.4373785359533578,2025-01,2025-12,True,品类季节spike
jewelry box for girls,5895.0,12,0.17667227325656618,2025-01,2025-12,True,品类季节spike
graduation balloons,5986.0,6,0.16349190485708576,2025-02,2025-07,False,Phase5命中×趋势向好
heart earrings,6187.0,12,5.369422284562111,2025-01,2025-12,True,品类季节spike
friendship bracelet kit,6443.0,12,0.8101312971412609,2025-01,2025-12,True,Phase5命中×品类
couples bracelets,6532.0,12,2.348111502235753,2025-01,2025-12,True,品类季节spike
gold bracelets,6605.0,12,0.46960969911789585,2025-01,2025-12,True,品类季节spike
nose studs,6659.0,12,1.0072598443489371,2025-01,2025-12,True,品类季节spike
firefighter costume women,6783.0,2,,2025-09,2025-10,False,裸场景词×优质词族
saint patricks day shirt,6800.0,2,,2025-02,2025-03,False,裸场景词×优质词族
graduation banner,6807.0,6,0.21287698479210665,2025-02,2025-07,False,Phase5命中×趋势向好
jewelry making kit,6937.0,12,0.3526365348399247,2025-01,2025-12,True,品类季节spike
engagement gifts for couples,7014.0,12,0.5871546361926805,2025-01,2025-12,False,Phase5命中×趋势向好
black choker,7065.0,12,1.1261865567162572,2025-01,2025-12,True,品类季节spike
earring organizer,7075.0,12,0.5267316145895212,2025-01,2025-12,True,品类季节spike
silver necklace,7088.0,12,0.4703,2025-01,2025-12,True,品类季节spike
nurse essentials,7376.0,12,0.07216926470038504,2025-01,2025-12,False,Phase5命中×趋势向好
silicone ring,7382.0,12,1.4342386328959413,2025-01,2025-12,True,品类季节spike
bracelet making kit for girls 8-12,7506.0,12,0.3522460463762492,2025-01,2025-12,True,品类季节spike
baseball necklaces for boys,7558.0,12,1.0411455358373876,2025-01,2025-12,True,品类季节spike
christmas necklace,7597.0,3,,2025-10,2025-12,True,品类新入榜
promise rings for her,7677.0,12,1.433806146572104,2025-01,2025-12,True,Phase5命中×品类
initial necklace,8037.0,12,0.6454986295593507,2025-01,2025-12,True,品类季节spike
prayer journal for woman,8336.0,12,1.2732438339057135,2025-01,2025-12,False,裸场景词×优质词族
hair jewelry,8341.0,12,1.0453502401173382,2025-01,2025-12,True,品类季节spike
gold arm cuff,8386.0,12,1.5609300213115327,2025-01,2025-12,True,品类季节spike
rose in chains,8560.0,11,0.19650680682968236,2025-01,2025-12,True,品类季节spike
the christmas ring,8560.0,3,,2025-10,2025-12,True,品类新入榜
firefighter costume men,8710.0,2,,2025-09,2025-10,False,裸场景词×优质词族
friendship bracelets,8855.0,12,1.609535655058043,2025-01,2025-12,True,Phase5命中×品类
heartland on up faith and family,8868.0,12,0.9123263727477268,2025-01,2025-12,False,裸场景词×优质词族
tire chains,8952.0,7,1.0824096385542168,2025-01,2025-12,True,品类季节spike
starfish earrings,9127.0,10,0.8628783094071659,2025-01,2025-10,True,品类季节spike
police officer costume for boys,9405.0,8,0.6786848304824337,2025-01,2025-12,False,Phase5命中×趋势向好；裸场景词×优质词族
saint patricks day decorations,9460.0,3,,2025-01,2025-03,False,裸场景词×优质词族
copper bracelet for men,9625.0,12,0.22889308795274466,2025-01,2025-12,True,品类季节spike
earrings for girls,9650.0,12,0.4011108767489278,2025-01,2025-12,True,品类季节spike
mens jewelry,9748.0,12,0.6023654305154786,2025-01,2025-12,True,品类季节spike
lucky charms,9784.0,12,1.4289327457367311,2025-01,2025-12,True,品类季节spike
firefighter costume for kids,9939.0,11,0.7929338064952756,2025-01,2025-12,False,裸场景词×优质词族
graduation card box,10039.0,6,0.31952726878456034,2025-02,2025-07,False,Phase5命中×趋势向好
